,,,,,FULL SIMULATION RESULTS from PC Coal Lab v.4.3
,,,,,,Niksa Energy Associates LLC

Fuel  1,in Test  1
Primary Devolatilization Products       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tar Conversion into PAH                 ,,,,,,,,,,,,,,,,,,,                                        
time s ,Tmp C  ,Gas    ,Tar    ,Wt Loss,Char   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,fN Char,fN Tar ,fN HCN ,%N Char,%N Tar ,fO Char,fO Tar ,fO Gas ,%O Char,%O Tar ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    ,%C Char,%H Char,%S Char,%C Tar ,%H Tar ,%S Tar ,Mn Tar ,time s ,Tmp C  ,Tar    ,Oils   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    ,fN Tar ,fN HCN ,fO Tar ,fO Gas ,%C Tar ,%H Tar ,%O Tar ,%N Tar ,%S Tar ,Mn Tar ,       ,       ,       ,
 0.1103E-01,  411.,  0.50,  1.16,  1.66, 98.34,  0.09,  0.17,  0.04,  0.19,  0.01, 0.985, 0.011, 0.004,  1.30,  1.27, 0.967, 0.013, 0.020, 11.52, 12.67,  0.09,  0.03,  0.03,  0.04,  0.00,  0.00,  0.00, 80.81,  5.97,  0.40, 78.87,  6.96,  0.23, 183.0, 0.9470E-02,  356.,  0.87,  0.00,  0.04,  0.09,  0.02,  0.10,  0.01,  0.05,  0.02,  0.02,  0.02,  0.00,  0.00,  0.00,   0.007,   0.004,   0.009,   0.991, 79.08,  6.69, 12.73,  1.27,  0.22,181.63,
 0.1213E-01,  449.,  0.76,  1.57,  2.32, 97.68,  0.13,  0.26,  0.05,  0.29,  0.01, 0.980, 0.015, 0.005,  1.31,  1.27, 0.953, 0.017, 0.030, 11.42, 12.56,  0.14,  0.05,  0.05,  0.05,  0.00,  0.00,  0.01, 80.93,  5.94,  0.40, 78.89,  7.04,  0.23, 198.8, 0.1033E-01,  387.,  1.02,  0.00,  0.06,  0.13,  0.03,  0.15,  0.01,  0.07,  0.03,  0.02,  0.03,  0.00,  0.00,  0.00,   0.008,   0.004,   0.011,   0.989, 78.85,  6.94, 12.71,  1.27,  0.22,185.49,
 0.1323E-01,  488.,  1.09,  2.43,  3.52, 96.48,  0.19,  0.38,  0.08,  0.42,  0.01, 0.971, 0.024, 0.005,  1.31,  1.28, 0.930, 0.026, 0.044, 11.29, 12.41,  0.20,  0.07,  0.07,  0.08,  0.00,  0.00,  0.01, 81.09,  5.91,  0.40, 78.90,  7.19,  0.23, 223.2, 0.1119E-01,  417.,  1.20,  0.00,  0.09,  0.18,  0.04,  0.21,  0.01,  0.10,  0.04,  0.04,  0.04,  0.00,  0.00,  0.00,   0.009,   0.005,   0.013,   0.987, 78.88,  6.96, 12.66,  1.27,  0.23,190.89,
 0.1433E-01,  527.,  1.53,  3.82,  5.35, 94.65,  0.27,  0.53,  0.11,  0.59,  0.02, 0.956, 0.038, 0.006,  1.31,  1.28, 0.898, 0.040, 0.062, 11.11, 12.26,  0.27,  0.10,  0.10,  0.11,  0.00,  0.00,  0.01, 81.31,  5.86,  0.40, 79.01,  7.22,  0.23, 246.4, 0.1205E-01,  447.,  1.52,  0.00,  0.12,  0.25,  0.05,  0.29,  0.01,  0.13,  0.05,  0.05,  0.05,  0.00,  0.00,  0.01,   0.012,   0.005,   0.016,   0.984, 78.89,  7.03, 12.57,  1.27,  0.23,203.41,
 0.1544E-01,  565.,  2.08,  5.50,  7.58, 92.42,  0.36,  0.72,  0.15,  0.80,  0.02, 0.939, 0.054, 0.007,  1.32,  1.28, 0.859, 0.057, 0.084, 10.88, 12.14,  0.37,  0.14,  0.14,  0.15,  0.00,  0.00,  0.02, 81.60,  5.80,  0.40, 79.09,  7.26,  0.23, 262.9, 0.1291E-01,  477.,  2.12,  0.00,  0.17,  0.33,  0.07,  0.39,  0.02,  0.18,  0.07,  0.06,  0.07,  0.00,  0.00,  0.01,   0.017,   0.006,   0.024,   0.976, 78.89,  7.15, 12.46,  1.28,  0.23,221.43,
 0.1654E-01,  604.,  2.79,  7.69, 10.48, 89.52,  0.49,  0.97,  0.20,  1.07,  0.02, 0.916, 0.076, 0.008,  1.33,  1.29, 0.808, 0.079, 0.114, 10.57, 11.99,  0.50,  0.19,  0.18,  0.20,  0.00,  0.01,  0.03, 81.99,  5.71,  0.40, 79.18,  7.31,  0.23, 279.9, 0.1377E-01,  507.,  3.06,  0.00,  0.22,  0.44,  0.09,  0.51,  0.02,  0.23,  0.09,  0.08,  0.09,  0.00,  0.00,  0.01,   0.024,   0.007,   0.036,   0.964, 78.95,  7.21, 12.33,  1.28,  0.23,240.82,
 0.1764E-01,  642.,  3.75, 10.80, 14.55, 85.45,  0.65,  1.31,  0.28,  1.44,  0.02, 0.884, 0.107, 0.009,  1.35,  1.29, 0.739, 0.109, 0.153, 10.12, 11.76,  0.67,  0.25,  0.25,  0.27,  0.00,  0.01,  0.03, 82.55,  5.58,  0.40, 79.41,  7.30,  0.23, 299.4, 0.1463E-01,  537.,  4.24,  0.00,  0.28,  0.57,  0.12,  0.65,  0.02,  0.30,  0.11,  0.11,  0.12,  0.00,  0.00,  0.02,   0.034,   0.007,   0.045,   0.955, 79.04,  7.22, 12.23,  1.28,  0.23,255.05,
 0.1874E-01,  681.,  5.01, 14.24, 19.25, 80.75,  0.87,  1.75,  0.38,  1.93,  0.02, 0.848, 0.142, 0.010,  1.37,  1.30, 0.655, 0.140, 0.205,  9.50, 11.50,  0.90,  0.34,  0.33,  0.36,  0.00,  0.01,  0.04, 83.33,  5.40,  0.40, 79.65,  7.32,  0.23, 313.6, 0.1549E-01,  567.,  5.59,  0.00,  0.36,  0.72,  0.15,  0.83,  0.02,  0.38,  0.14,  0.14,  0.15,  0.00,  0.00,  0.02,   0.045,   0.008,   0.059,   0.941, 79.09,  7.26, 12.13,  1.28,  0.23,265.92,
 0.1985E-01,  719.,  6.69, 17.69, 24.39, 75.61,  1.16,  2.33,  0.52,  2.58,  0.03, 0.811, 0.178, 0.011,  1.40,  1.31, 0.557, 0.168, 0.275,  8.63, 11.14,  1.21,  0.45,  0.44,  0.48,  0.00,  0.02,  0.05, 84.41,  5.16,  0.41, 79.96,  7.35,  0.24, 322.4, 0.1635E-01,  597.,  7.25,  0.00,  0.46,  0.91,  0.20,  1.05,  0.02,  0.48,  0.18,  0.17,  0.19,  0.00,  0.00,  0.02,   0.059,   0.009,   0.079,   0.921, 79.16,  7.31, 12.02,  1.29,  0.23,275.63,
 0.2095E-01,  758.,  8.58, 21.20, 29.78, 70.22,  1.48,  2.98,  0.69,  3.30,  0.03, 0.772, 0.216, 0.012,  1.43,  1.32, 0.455, 0.193, 0.352,  7.58, 10.67,  1.54,  0.58,  0.57,  0.62,  0.00,  0.03,  0.06, 85.71,  4.86,  0.41, 80.41,  7.35,  0.24, 328.1, 0.1721E-01,  627.,  9.50,  0.00,  0.58,  1.15,  0.25,  1.32,  0.02,  0.60,  0.23,  0.22,  0.24,  0.00,  0.01,  0.03,   0.077,   0.009,   0.098,   0.902, 79.31,  7.31, 11.86,  1.29,  0.23,287.72,
